,age,father,mother
1009,0,No,No
1010,0,No,No
1011,0,No,No
1012,0,No,No
1013,0,Non Interview,Non Interview
1014,0,No,No
1015,0,Non Interview,Non Interview
1016,0,No,No
1017,0,No,No
1018,0,No,No
1019,0,No,No
1020,0,No,No
1021,0,Non Interview,Non Interview
1022,0,No,No
1023,21,No,No
1024,0,Don't Know,No
1025,0,No,No
1026,0,Non Interview,Non Interview
1027,0,No,No
1028,0,No,No
1029,0,Yes,No
1030,0,No,No
1031,0,No,No
1032,18,Non Interview,Non Interview
1033,0,No,No
1034,0,Non Interview,Non Interview
1035,0,No,No
1036,0,No,No
1037,0,Don't Know,No
1038,0,No,No
1039,0,No,No
1040,0,Yes,No
1041,0,Non Interview,Non Interview
1042,0,Don't Know,No
1043,0,No,No
1044,0,No,No
1045,0,Yes,No
1046,0,Yes,No
1047,0,Yes,No
1048,0,Refused,Refused
1049,24,Non Interview,Non Interview
1050,0,No,No
1051,0,No,No
1052,0,Valid Skip,No
1053,0,Yes,No
1054,0,No,No
1055,0,Valid Skip,No
1056,15,Non Interview,Non Interview
1057,0,No,No
1058,0,No,No
1059,0,Non Interview,Non Interview
1060,0,No,No
1061,21,No,No
1062,0,Non Interview,Non Interview
1063,0,No,No
1064,0,No,No
1065,0,No,No
1066,0,No,No
1067,0,Non Interview,Non Interview
1068,0,No,No
1069,0,No,No
1070,0,No,No
1071,0,Non Interview,Non Interview
1072,0,No,No
1073,0,Yes,No
1074,0,Non Interview,Non Interview
1075,0,Non Interview,Non Interview
1076,0,No,No
1077,0,Non Interview,Non Interview
1078,0,Non Interview,Non Interview
1079,0,No,No
1080,0,No,No
1081,0,Non Interview,Non Interview
1082,0,No,No
1083,0,No,No
1084,0,No,No
1085,0,No,No
1086,0,Non Interview,Non Interview
1087,0,Non Interview,Non Interview
1088,0,Non Interview,Non Interview
1089,0,No,Yes
1090,0,No,No
1091,0,Don't Know,No
1092,0,No,No
1093,0,No,No
1094,0,No,No
1095,26,No,No
1096,0,No,No
1097,0,No,No
1098,0,Yes,No
1099,0,Valid Skip,No
1100,0,Don't Know,No
1101,0,Don't Know,No
1102,0,No,No
1103,0,No,No
1104,28,Don't Know,No
1105,0,No,No
1106,0,No,No
1107,0,No,No
1108,0,Non Interview,Non Interview
1109,0,No,No
1110,0,No,No
1111,0,No,No
1112,0,No,No
1113,0,Non Interview,Non Interview
1114,0,No,No
1115,30,No,No
1116,0,No,No
1117,0,No,No
1118,0,Non Interview,Non Interview
1119,0,Non Interview,Non Interview
1120,0,Non Interview,Non Interview
1121,0,No,No
1122,0,No,No
1123,0,Non Interview,Non Interview
1124,0,No,No
1125,0,Yes,No
1126,0,Yes,Yes
1127,0,Don't Know,No
1128,0,Don't Know,No
1129,0,No,No
1130,0,No,No
1131,0,No,No
1132,0,Non Interview,Non Interview
1133,0,No,No
