,-4,0,1,2,3,4,-3,5
MAR_STATUS_2004.02,431.0,6245.0,1214.0,974.0,44.0,59.0,14.0,3.0
MAR_STATUS_2004.03,443.0,6200.0,1223.0,997.0,43.0,60.0,15.0,3.0
MAR_STATUS_2004.04,450.0,6165.0,1232.0,1012.0,43.0,63.0,15.0,4.0
MAR_STATUS_2004.05,456.0,6113.0,1245.0,1042.0,43.0,65.0,16.0,4.0
MAR_STATUS_2004.06,461.0,6071.0,1245.0,1076.0,43.0,68.0,16.0,4.0
MAR_STATUS_2004.07,463.0,6042.0,1244.0,1104.0,43.0,70.0,14.0,4.0
MAR_STATUS_2004.08,464.0,5984.0,1268.0,1134.0,44.0,72.0,14.0,4.0
MAR_STATUS_2004.09,464.0,5953.0,1270.0,1161.0,47.0,71.0,14.0,4.0
MAR_STATUS_2004.10,464.0,5937.0,1262.0,1180.0,49.0,74.0,14.0,4.0
MAR_STATUS_2004.11,464.0,5905.0,1272.0,1199.0,48.0,79.0,13.0,4.0
MAR_STATUS_2004.12,473.0,5862.0,1281.0,1220.0,46.0,88.0,11.0,3.0
MAR_STATUS_2005.01,489.0,5805.0,1301.0,1241.0,41.0,93.0,11.0,3.0
MAR_STATUS_2005.02,506.0,5748.0,1322.0,1258.0,37.0,100.0,10.0,3.0
MAR_STATUS_2005.03,524.0,5705.0,1326.0,1270.0,37.0,108.0,11.0,3.0
MAR_STATUS_2005.04,530.0,5661.0,1335.0,1293.0,39.0,112.0,11.0,3.0
MAR_STATUS_2005.05,537.0,5585.0,1349.0,1346.0,40.0,114.0,10.0,3.0
MAR_STATUS_2005.06,542.0,5519.0,1353.0,1405.0,40.0,113.0,9.0,3.0
MAR_STATUS_2005.07,545.0,5461.0,1360.0,1450.0,41.0,115.0,9.0,3.0
MAR_STATUS_2005.08,545.0,5411.0,1366.0,1486.0,41.0,123.0,9.0,3.0
MAR_STATUS_2005.09,545.0,5373.0,1375.0,1514.0,41.0,124.0,9.0,3.0
MAR_STATUS_2005.10,545.0,5345.0,1386.0,1523.0,41.0,132.0,9.0,3.0
MAR_STATUS_2005.11,545.0,5326.0,1390.0,1527.0,46.0,138.0,9.0,3.0
MAR_STATUS_2005.12,559.0,5291.0,1396.0,1528.0,48.0,148.0,11.0,3.0
MAR_STATUS_2006.01,577.0,5222.0,1430.0,1536.0,50.0,154.0,12.0,3.0
MAR_STATUS_2006.02,593.0,5159.0,1462.0,1548.0,52.0,155.0,12.0,3.0
MAR_STATUS_2006.03,599.0,5109.0,1475.0,1571.0,53.0,161.0,13.0,3.0
MAR_STATUS_2006.04,603.0,5060.0,1487.0,1602.0,48.0,168.0,13.0,3.0
MAR_STATUS_2006.05,607.0,5013.0,1493.0,1637.0,47.0,170.0,14.0,3.0
MAR_STATUS_2006.06,610.0,4973.0,1485.0,1674.0,47.0,178.0,14.0,3.0
MAR_STATUS_2006.07,612.0,4924.0,1493.0,1707.0,45.0,187.0,13.0,3.0
MAR_STATUS_2006.08,612.0,4888.0,1490.0,1741.0,45.0,192.0,13.0,3.0
MAR_STATUS_2006.09,612.0,4862.0,1479.0,1771.0,46.0,198.0,13.0,3.0
MAR_STATUS_2006.10,612.0,4836.0,1469.0,1802.0,46.0,203.0,13.0,3.0
MAR_STATUS_2006.11,613.0,4812.0,1474.0,1805.0,46.0,216.0,15.0,3.0
MAR_STATUS_2006.12,631.0,4733.0,1504.0,1818.0,57.0,222.0,15.0,4.0
MAR_STATUS_2007.01,646.0,4667.0,1540.0,1816.0,69.0,226.0,16.0,4.0
MAR_STATUS_2007.02,677.0,4601.0,1558.0,1828.0,66.0,234.0,16.0,4.0
MAR_STATUS_2007.03,691.0,4560.0,1569.0,1838.0,70.0,237.0,15.0,4.0
MAR_STATUS_2007.04,697.0,4539.0,1564.0,1855.0,71.0,238.0,15.0,5.0
MAR_STATUS_2007.05,701.0,4499.0,1572.0,1880.0,73.0,239.0,15.0,5.0
MAR_STATUS_2007.06,703.0,4439.0,1581.0,1926.0,71.0,244.0,15.0,5.0
MAR_STATUS_2007.07,703.0,4390.0,1577.0,1977.0,72.0,245.0,15.0,5.0
MAR_STATUS_2007.08,703.0,4355.0,1581.0,1999.0,75.0,251.0,15.0,5.0
MAR_STATUS_2007.09,703.0,4334.0,1556.0,2042.0,75.0,254.0,15.0,5.0
MAR_STATUS_2007.10,703.0,4327.0,1540.0,2055.0,75.0,263.0,15.0,6.0
MAR_STATUS_2007.11,714.0,4306.0,1531.0,2060.0,82.0,266.0,19.0,6.0
MAR_STATUS_2007.12,726.0,4253.0,1557.0,2061.0,85.0,276.0,20.0,6.0
MAR_STATUS_2008.01,739.0,4204.0,1582.0,2065.0,84.0,282.0,22.0,6.0
MAR_STATUS_2008.02,748.0,4169.0,1588.0,2078.0,91.0,283.0,21.0,6.0
MAR_STATUS_2008.03,751.0,4155.0,1575.0,2095.0,89.0,292.0,21.0,6.0
MAR_STATUS_2008.04,757.0,4140.0,1570.0,2105.0,90.0,295.0,21.0,6.0
MAR_STATUS_2008.05,758.0,4106.0,1567.0,2137.0,89.0,299.0,22.0,6.0
MAR_STATUS_2008.06,759.0,4075.0,1563.0,2165.0,87.0,307.0,22.0,6.0
MAR_STATUS_2008.07,759.0,4047.0,1573.0,2177.0,89.0,311.0,22.0,6.0
MAR_STATUS_2008.08,759.0,4013.0,1568.0,2209.0,89.0,318.0,22.0,6.0
MAR_STATUS_2008.09,759.0,3981.0,1565.0,2240.0,88.0,323.0,22.0,6.0
MAR_STATUS_2008.10,759.0,3960.0,1555.0,2255.0,89.0,339.0,21.0,6.0
MAR_STATUS_2008.11,769.0,3929.0,1551.0,2272.0,86.0,350.0,20.0,7.0
MAR_STATUS_2008.12,788.0,3889.0,1555.0,2278.0,95.0,353.0,19.0,7.0
MAR_STATUS_2009.01,801.0,3851.0,1569.0,2273.0,98.0,366.0,19.0,7.0
MAR_STATUS_2009.02,808.0,3838.0,1553.0,2289.0,100.0,370.0,19.0,7.0
MAR_STATUS_2009.03,820.0,3800.0,1562.0,2300.0,102.0,374.0,19.0,7.0
MAR_STATUS_2009.04,834.0,3771.0,1561.0,2310.0,100.0,382.0,19.0,7.0
MAR_STATUS_2009.05,841.0,3748.0,1529.0,2360.0,99.0,381.0,19.0,7.0
MAR_STATUS_2009.06,848.0,3704.0,1535.0,2386.0,101.0,386.0,17.0,7.0
MAR_STATUS_2009.07,848.0,3689.0,1522.0,2403.0,105.0,393.0,17.0,7.0
MAR_STATUS_2009.08,848.0,3654.0,1513.0,2441.0,108.0,396.0,17.0,7.0
MAR_STATUS_2009.09,848.0,3655.0,1487.0,2465.0,106.0,399.0,17.0,7.0
MAR_STATUS_2009.10,853.0,3634.0,1478.0,2476.0,112.0,407.0,17.0,7.0
MAR_STATUS_2009.11,884.0,3586.0,1483.0,2479.0,111.0,416.0,18.0,7.0
MAR_STATUS_2009.12,906.0,3560.0,1478.0,2475.0,113.0,425.0,20.0,7.0
