,LCI,top3_3,,,,,
512,1,Biological mother only,,,,,
514,5,"Two parents, biological mother",,,,,
515,0,"Two parents, biological mother",,,,,
516,1,Both biological parents,,,,,
517,6,Anything else,,,,,
518,1,Anything else,,,,,
519,0,Biological mother only,,,,,
520,1,"Two parents, biological mother",,,,,
521,0,"Two parents, biological mother",,,,,
522,4,Anything else,,,,,
523,6,Both biological parents,,,,,
524,1,Both biological parents,,,,,
525,3,Both biological parents,,,,,
526,0,Both biological parents,,,,,
527,1,"Two parents, biological father",,,,,
528,1,Biological mother only,,,,,
529,0,Both biological parents,,,,,
530,0,Anything else,,,,,
532,0,Both biological parents,,,,,
533,3,Biological mother only,,,,,
534,3,Both biological parents,,,,,
535,0,Both biological parents,,,,,
536,4,Anything else,,,,,
537,3,Biological mother only,,,,,
538,1,Anything else,,,,,
539,5,Anything else,,,,,
540,1,Anything else,,,,,
541,3,Both biological parents,,,,,
542,3,Biological mother only,,,,,
543,1,Both biological parents,,,,,
544,3,Anything else,,,,,
545,1,Anything else,,,,,
546,1,Both biological parents,,,,,
547,1,Both biological parents,,,,,
548,5,"Two parents, biological mother",,,,,
549,0,Both biological parents,,,,,
550,1,Both biological parents,,,,,
554,3,Biological mother only,,,,,
555,1,Anything else,,,,,
556,4,Both biological parents,,,,,
557,3,Anything else,,,,,
558,0,Both biological parents,,,,,
559,6,Anything else,,,,,
560,1,Anything else,,,,,
561,1,Both biological parents,,,,,
562,4,"Two parents, biological mother",,,,,
563,1,Anything else,,,,,
564,3,Anything else,,,,,
565,1,Both biological parents,,,,,
567,2,Both biological parents,,,,,
568,1,Both biological parents,,,,,
569,1,Biological mother only,,,,,
570,2,"No parents, other relatives",,,,,
571,1,Biological mother only,,,,,
572,4,Both biological parents,,,,,
573,3,Both biological parents,,,,,
575,0,Both biological parents,,,,,
576,1,Both biological parents,,,,,
577,1,Anything else,,,,,
578,2,Both biological parents,,,,,
579,0,Both biological parents,,,,,
580,1,Both biological parents,,,,,
581,0,Both biological parents,,,,,
582,3,Anything else,,,,,
583,1,Biological mother only,,,,,
584,1,Biological father only,,,,,
585,3,Anything else,,,,,
587,0,Anything else,,,,,
588,3,Anything else,,,,,
589,0,Both biological parents,,,,,
590,1,Biological mother only,,,,,
591,0,Anything else,,,,,
593,9,Anything else,,,,,
594,3,Anything else,,,,,
597,1,Both biological parents,,,,,
598,4,"Two parents, biological mother",,,,,
599,1,Both biological parents,,,,,
600,1,Anything else,,,,,
601,3,Anything else,,,,,
602,1,Both biological parents,,,,,
603,1,Anything else,,,,,
604,1,Anything else,,,,,
605,10,Anything else,,,,,
606,4,Anything else,,,,,
607,0,"Two parents, biological mother",,,,,
608,1,Both biological parents,,,,,
609,5,Both biological parents,,,,,
610,1,Both biological parents,,,,,
611,0,Both biological parents,,,,,
612,1,Both biological parents,,,,,
613,3,Biological mother only,,,,,
614,0,Both biological parents,,,,,
615,0,Both biological parents,,,,,
616,4,"Two parents, biological mother",,,,,
617,3,Both biological parents,,,,,
618,3,Both biological parents,,,,,
621,1,Both biological parents,,,,,
622,1,Both biological parents,,,,,
623,3,Both biological parents,,,,,
625,3,Biological father only,,,,,
