,LCI,top3_3,,,,,
4441,4,Biological mother only,,,,,
4442,2,Both biological parents,,,,,
4443,3,Anything else,,,,,
4444,0,Both biological parents,,,,,
4445,1,Anything else,,,,,
4446,3,Both biological parents,,,,,
4447,3,Both biological parents,,,,,
4448,0,"Two parents, biological father",,,,,
4449,1,Both biological parents,,,,,
4450,1,Both biological parents,,,,,
4451,1,Anything else,,,,,
4452,3,Both biological parents,,,,,
4453,1,Anything else,,,,,
4454,3,Anything else,,,,,
4455,5,Biological father only,,,,,
4457,3,Both biological parents,,,,,
4459,3,Both biological parents,,,,,
4460,0,Anything else,,,,,
4461,0,Both biological parents,,,,,
4464,3,Anything else,,,,,
4465,1,Anything else,,,,,
4466,1,Both biological parents,,,,,
4467,0,Anything else,,,,,
4468,1,Anything else,,,,,
4469,2,Biological mother only,,,,,
4470,5,Biological mother only,,,,,
4471,0,Anything else,,,,,
4472,1,Anything else,,,,,
4473,1,Biological mother only,,,,,
4474,3,Anything else,,,,,
4476,2,Both biological parents,,,,,
4477,4,Biological mother only,,,,,
4478,1,Biological mother only,,,,,
4479,1,Anything else,,,,,
4480,0,Biological mother only,,,,,
4481,2,Biological mother only,,,,,
4482,5,Both biological parents,,,,,
4483,3,Anything else,,,,,
4484,1,Biological mother only,,,,,
4485,6,Anything else,,,,,
4486,5,Biological mother only,,,,,
4487,1,Both biological parents,,,,,
4488,1,Both biological parents,,,,,
4489,2,Both biological parents,,,,,
4490,0,"Two parents, biological mother",,,,,
4491,4,Anything else,,,,,
4492,1,Biological mother only,,,,,
4495,2,"Two parents, biological mother",,,,,
4496,3,Both biological parents,,,,,
4498,5,Both biological parents,,,,,
4499,1,Anything else,,,,,
4500,8,Biological father only,,,,,
4501,3,Biological father only,,,,,
4502,1,Anything else,,,,,
4503,3,Anything else,,,,,
4504,1,Both biological parents,,,,,
4505,1,Anything else,,,,,
4506,6,Anything else,,,,,
4507,5,Anything else,,,,,
4508,4,Anything else,,,,,
4509,0,Both biological parents,,,,,
4510,0,Biological mother only,,,,,
4511,3,Biological mother only,,,,,
4513,5,Both biological parents,,,,,
4514,1,Anything else,,,,,
4515,1,Both biological parents,,,,,
4518,3,Biological mother only,,,,,
4521,1,Anything else,,,,,
4522,1,Biological mother only,,,,,
4523,1,Both biological parents,,,,,
4524,1,Both biological parents,,,,,
4525,1,Both biological parents,,,,,
4526,1,Anything else,,,,,
4527,0,Biological mother only,,,,,
4528,1,Both biological parents,,,,,
4529,1,Biological mother only,,,,,
4530,3,Anything else,,,,,
4531,7,Anything else,,,,,
4532,0,Both biological parents,,,,,
4533,8,"Two parents, biological mother",,,,,
4534,2,Biological mother only,,,,,
4535,3,Both biological parents,,,,,
4536,0,Both biological parents,,,,,
4537,3,Both biological parents,,,,,
4538,3,Both biological parents,,,,,
4539,1,Both biological parents,,,,,
4540,3,"Two parents, biological mother",,,,,
4541,1,Anything else,,,,,
4542,1,Anything else,,,,,
4544,4,Biological mother only,,,,,
4546,5,Both biological parents,,,,,
4547,5,Anything else,,,,,
4548,5,Anything else,,,,,
4549,2,Anything else,,,,,
4550,1,Anything else,,,,,
4551,1,Both biological parents,,,,,
4552,1,Anything else,,,,,
4553,3,Anything else,,,,,
4554,1,"Two parents, biological mother",,,,,
4557,1,Anything else,,,,,
4558,0,Anything else,,,,,
4559,0,Both biological parents,,,,,
4560,2,Anything else,,,,,
4561,4,Biological mother only,,,,,
4562,4,Both biological parents,,,,,
4563,1,Biological mother only,,,,,
4564,3,Anything else,,,,,
4565,4,Anything else,,,,,
4566,1,Anything else,,,,,
4567,3,Anything else,,,,,
4568,1,Anything else,,,,,
4569,0,Anything else,,,,,
4570,1,Anything else,,,,,
4571,2,Both biological parents,,,,,
4572,4,Biological mother only,,,,,
4573,1,Both biological parents,,,,,
4574,1,Both biological parents,,,,,
4576,0,Anything else,,,,,
4577,1,Both biological parents,,,,,
4578,0,Both biological parents,,,,,
4579,0,Biological mother only,,,,,
4580,9,Both biological parents,,,,,
4581,3,"Two parents, biological mother",,,,,
4582,3,Anything else,,,,,
4583,6,Anything else,,,,,
4585,6,Anything else,,,,,
4586,0,Anything else,,,,,
4587,2,Both biological parents,,,,,
4588,3,Anything else,,,,,
4589,1,Anything else,,,,,
4590,3,Anything else,,,,,
4591,0,Both biological parents,,,,,
4592,5,Biological mother only,,,,,
4593,1,Anything else,,,,,
4595,2,Anything else,,,,,
4596,4,"Two parents, biological mother",,,,,
4597,3,Anything else,,,,,
4598,0,Biological father only,,,,,
4599,2,Both biological parents,,,,,
4600,7,Anything else,,,,,
4601,1,Both biological parents,,,,,
4602,8,"Two parents, biological mother",,,,,
4603,1,Anything else,,,,,
4604,6,Both biological parents,,,,,
4605,3,Anything else,,,,,
4606,4,Both biological parents,,,,,
4607,1,Anything else,,,,,
4608,5,Anything else,,,,,
4610,1,Biological mother only,,,,,
4611,6,"Two parents, biological father",,,,,
4612,3,Biological mother only,,,,,
4613,7,Biological mother only,,,,,
4614,0,Both biological parents,,,,,
4615,3,Both biological parents,,,,,
4616,10,Anything else,,,,,
4617,4,Anything else,,,,,
4618,0,Both biological parents,,,,,
4619,1,Both biological parents,,,,,
4620,0,Biological mother only,,,,,
4621,0,Anything else,,,,,
4622,2,Biological mother only,,,,,
4623,1,Both biological parents,,,,,
4624,3,Anything else,,,,,
4625,1,Anything else,,,,,
4626,3,Biological mother only,,,,,
4627,1,Biological mother only,,,,,
4628,4,Anything else,,,,,
4629,3,Anything else,,,,,
4631,1,Both biological parents,,,,,
4632,4,Anything else,,,,,
4633,0,Biological father only,,,,,
4634,0,Anything else,,,,,
4635,1,Both biological parents,,,,,
4636,3,Anything else,,,,,
4637,6,Both biological parents,,,,,
4638,6,Biological mother only,,,,,
4639,8,Anything else,,,,,
4640,3,Anything else,,,,,
4643,0,"Two parents, biological mother",,,,,
4644,0,Anything else,,,,,
4645,1,Anything else,,,,,
4646,2,Biological mother only,,,,,
4647,9,"Two parents, biological mother",,,,,
4650,3,Both biological parents,,,,,
4651,5,Both biological parents,,,,,
4652,1,Both biological parents,,,,,
4653,3,Anything else,,,,,
4654,1,Both biological parents,,,,,
4655,4,Anything else,,,,,
4657,6,Anything else,,,,,
4658,1,Anything else,,,,,
4659,3,Both biological parents,,,,,
4660,3,Anything else,,,,,
4662,3,Biological mother only,,,,,
4663,2,"Two parents, biological father",,,,,
4664,0,Anything else,,,,,
4666,2,Biological mother only,,,,,
4667,1,Anything else,,,,,
4668,8,"Two parents, biological mother",,,,,
4669,5,Biological mother only,,,,,
4675,0,Anything else,,,,,
4676,1,"Two parents, biological mother",,,,,
4677,1,Anything else,,,,,
4678,0,Both biological parents,,,,,
4679,3,Anything else,,,,,
4680,3,Both biological parents,,,,,
4681,3,Anything else,,,,,
4683,3,Anything else,,,,,
4684,1,Biological mother only,,,,,
4685,1,Both biological parents,,,,,
4686,0,Biological mother only,,,,,
4687,1,Both biological parents,,,,,
4688,0,Both biological parents,,,,,
4689,1,Both biological parents,,,,,
4691,3,Both biological parents,,,,,
4692,1,Both biological parents,,,,,
4695,0,Anything else,,,,,
4696,0,Biological mother only,,,,,
4697,1,Anything else,,,,,
4698,1,Both biological parents,,,,,
4699,1,Anything else,,,,,
4700,3,Both biological parents,,,,,
4701,4,Both biological parents,,,,,
4702,0,Both biological parents,,,,,
4703,1,Both biological parents,,,,,
4705,4,Both biological parents,,,,,
4706,1,Both biological parents,,,,,
4708,1,Biological mother only,,,,,
4709,3,Anything else,,,,,
4710,6,Anything else,,,,,
4711,2,Anything else,,,,,
4712,0,Both biological parents,,,,,
4713,0,Both biological parents,,,,,
4714,2,Anything else,,,,,
4717,1,"Two parents, biological mother",,,,,
4719,1,Anything else,,,,,
4720,1,Anything else,,,,,
4721,1,Both biological parents,,,,,
4722,3,Biological mother only,,,,,
4723,1,Both biological parents,,,,,
4724,0,Both biological parents,,,,,
4725,1,Both biological parents,,,,,
4726,4,"Two parents, biological mother",,,,,
4727,7,Anything else,,,,,
4728,5,Both biological parents,,,,,
4729,3,Anything else,,,,,
4730,1,Both biological parents,,,,,
4731,5,Anything else,,,,,
4732,4,Both biological parents,,,,,
4733,1,"Two parents, biological father",,,,,
4734,6,"Two parents, biological mother",,,,,
4735,0,Anything else,,,,,
4736,2,Anything else,,,,,
4737,4,Both biological parents,,,,,
4738,1,Biological father only,,,,,
4739,1,Anything else,,,,,
4740,0,Anything else,,,,,
4741,1,Biological mother only,,,,,
4742,3,Biological mother only,,,,,
4743,3,Anything else,,,,,
4744,2,Biological mother only,,,,,
4745,0,Both biological parents,,,,,
4746,1,Both biological parents,,,,,
4748,0,Anything else,,,,,
4749,1,Biological mother only,,,,,
4750,3,Anything else,,,,,
4751,4,Biological mother only,,,,,
4752,0,Biological mother only,,,,,
4753,1,Anything else,,,,,
4757,1,Anything else,,,,,
4758,3,Anything else,,,,,
4759,1,Anything else,,,,,
4760,0,"Two parents, biological father",,,,,
4761,5,Both biological parents,,,,,
4762,0,Biological mother only,,,,,
4763,1,Biological mother only,,,,,
4764,1,Both biological parents,,,,,
4765,1,Biological mother only,,,,,
4766,12,Anything else,,,,,
4767,2,Anything else,,,,,
4768,5,Anything else,,,,,
4769,1,Biological mother only,,,,,
4770,0,Biological mother only,,,,,
4771,1,Biological mother only,,,,,
4772,1,Anything else,,,,,
4773,1,Anything else,,,,,
4774,3,Anything else,,,,,
4775,0,Both biological parents,,,,,
4776,0,Both biological parents,,,,,
4777,0,Both biological parents,,,,,
4778,1,Both biological parents,,,,,
4779,2,Biological mother only,,,,,
4781,3,Both biological parents,,,,,
4782,0,Anything else,,,,,
4783,0,Both biological parents,,,,,
4784,3,"Two parents, biological mother",,,,,
4785,9,Both biological parents,,,,,
4786,3,"Two parents, biological mother",,,,,
4787,1,Both biological parents,,,,,
4788,0,Biological mother only,,,,,
4789,2,Biological father only,,,,,
4790,11,Anything else,,,,,
4791,1,Both biological parents,,,,,
4792,3,Both biological parents,,,,,
4793,1,Both biological parents,,,,,
4794,4,Biological mother only,,,,,
4795,5,Biological mother only,,,,,
4796,0,Biological father only,,,,,
4797,1,Anything else,,,,,
4798,4,Biological mother only,,,,,
4799,3,"Two parents, biological mother",,,,,
4800,1,Anything else,,,,,
4801,0,Anything else,,,,,
4802,1,Both biological parents,,,,,
4803,1,Both biological parents,,,,,
4804,1,Both biological parents,,,,,
4805,1,Biological mother only,,,,,
4807,1,Both biological parents,,,,,
4808,7,Anything else,,,,,
4809,0,Biological mother only,,,,,
4810,2,Biological mother only,,,,,
4811,3,Biological mother only,,,,,
4814,1,Both biological parents,,,,,
4815,3,Both biological parents,,,,,
4816,1,Both biological parents,,,,,
4817,1,Both biological parents,,,,,
4818,0,Anything else,,,,,
4819,0,Both biological parents,,,,,
4820,7,Biological father only,,,,,
4821,4,Both biological parents,,,,,
4822,3,Both biological parents,,,,,
4823,8,"Two parents, biological mother",,,,,
4824,1,"Two parents, biological mother",,,,,
4825,0,Both biological parents,,,,,
4826,1,Both biological parents,,,,,
4827,5,Both biological parents,,,,,
4828,3,Both biological parents,,,,,
4829,1,Biological mother only,,,,,
4830,3,Both biological parents,,,,,
4831,3,Both biological parents,,,,,
4833,3,Anything else,,,,,
4834,0,Anything else,,,,,
4835,3,Anything else,,,,,
4836,5,"No parents, grandparents",,,,,
4838,1,Both biological parents,,,,,
4839,4,"Two parents, biological mother",,,,,
4840,4,Biological mother only,,,,,
4841,5,Both biological parents,,,,,
4842,1,Both biological parents,,,,,
4844,1,Both biological parents,,,,,
4845,5,"Two parents, biological mother",,,,,
4846,8,Both biological parents,,,,,
4847,5,Biological mother only,,,,,
4848,1,Anything else,,,,,
4849,5,Anything else,,,,,
4850,5,Anything else,,,,,
4851,10,Anything else,,,,,
4852,1,Anything else,,,,,
4853,7,Both biological parents,,,,,
4854,5,Anything else,,,,,
4855,1,Biological mother only,,,,,
4856,3,Anything else,,,,,
4857,1,Both biological parents,,,,,
4858,1,"Two parents, biological mother",,,,,
4859,3,Both biological parents,,,,,
4860,5,Anything else,,,,,
4861,2,Biological mother only,,,,,
4862,1,Both biological parents,,,,,
4863,2,Both biological parents,,,,,
4864,4,Both biological parents,,,,,
4865,1,Anything else,,,,,
4866,1,Both biological parents,,,,,
4867,1,Anything else,,,,,
4868,5,Biological mother only,,,,,
4869,5,Anything else,,,,,
4870,5,Anything else,,,,,
4872,3,Biological father only,,,,,
4873,6,Anything else,,,,,
4874,1,Both biological parents,,,,,
4875,7,Both biological parents,,,,,
4876,1,Biological mother only,,,,,
4877,3,Anything else,,,,,
4878,1,Both biological parents,,,,,
4879,6,Anything else,,,,,
4881,3,Anything else,,,,,
4882,5,Anything else,,,,,
4883,1,Both biological parents,,,,,
4885,3,Both biological parents,,,,,
4887,2,Both biological parents,,,,,
4888,5,Anything else,,,,,
4889,3,Anything else,,,,,
4890,2,Both biological parents,,,,,
4891,1,"Two parents, biological mother",,,,,
4892,1,Anything else,,,,,
4893,2,Biological mother only,,,,,
4894,1,Adoptive parent(s),,,,,
4895,0,Adoptive parent(s),,,,,
4897,5,Anything else,,,,,
4898,1,Anything else,,,,,
4899,7,Both biological parents,,,,,
4900,3,Both biological parents,,,,,
4901,1,Both biological parents,,,,,
4902,1,Biological father only,,,,,
4903,3,Both biological parents,,,,,
4904,2,Both biological parents,,,,,
4905,7,Anything else,,,,,
4906,1,Both biological parents,,,,,
4907,1,Both biological parents,,,,,
4908,1,Both biological parents,,,,,
4909,1,Both biological parents,,,,,
4911,1,Both biological parents,,,,,
4914,1,Both biological parents,,,,,
4915,0,Both biological parents,,,,,
4918,1,Anything else,,,,,
4919,4,Both biological parents,,,,,
4920,0,Both biological parents,,,,,
4921,2,Biological mother only,,,,,
4922,3,Anything else,,,,,
4923,1,"Two parents, biological mother",,,,,
4924,2,Anything else,,,,,
4925,6,Anything else,,,,,
4926,1,Both biological parents,,,,,
4929,2,Biological father only,,,,,
4930,3,Both biological parents,,,,,
4931,1,Both biological parents,,,,,
4932,2,Both biological parents,,,,,
4933,0,Biological mother only,,,,,
4936,4,Anything else,,,,,
4937,1,Anything else,,,,,
4938,4,Anything else,,,,,
4939,1,Anything else,,,,,
4940,3,Biological mother only,,,,,
4941,5,Anything else,,,,,
4942,2,Anything else,,,,,
4943,5,Biological mother only,,,,,
4944,4,Biological mother only,,,,,
4945,0,"Two parents, biological mother",,,,,
4946,4,"Two parents, biological mother",,,,,
4947,7,"Two parents, biological mother",,,,,
4948,3,"Two parents, biological mother",,,,,
4949,12,Anything else,,,,,
4950,9,"Two parents, biological mother",,,,,
4951,3,Anything else,,,,,
4953,2,Biological mother only,,,,,
4954,7,Anything else,,,,,
4955,1,Both biological parents,,,,,
4956,1,Both biological parents,,,,,
4957,3,Anything else,,,,,
4958,3,Both biological parents,,,,,
4959,5,"Two parents, biological father",,,,,
4960,1,Biological father only,,,,,
4961,6,Biological mother only,,,,,
4962,5,Anything else,,,,,
4963,1,"Two parents, biological mother",,,,,
4964,1,Both biological parents,,,,,
4965,1,"Two parents, biological mother",,,,,
4967,3,Anything else,,,,,
4969,4,Biological mother only,,,,,
4970,1,Both biological parents,,,,,
4971,2,Biological mother only,,,,,
4972,3,Both biological parents,,,,,
4973,0,Biological mother only,,,,,
4974,3,Both biological parents,,,,,
4975,5,Both biological parents,,,,,
4976,4,Anything else,,,,,
4977,4,"Two parents, biological mother",,,,,
4978,4,Anything else,,,,,
4979,4,Biological father only,,,,,
4981,6,Both biological parents,,,,,
4982,5,Both biological parents,,,,,
4984,1,Anything else,,,,,
4985,1,Both biological parents,,,,,
4986,7,Anything else,,,,,
4987,3,Anything else,,,,,
4988,5,Anything else,,,,,
4989,5,Anything else,,,,,
4990,3,Anything else,,,,,
4991,3,Anything else,,,,,
4992,0,Anything else,,,,,
4993,1,Biological mother only,,,,,
4994,1,Anything else,,,,,
4995,2,Both biological parents,,,,,
4996,1,"Two parents, biological mother",,,,,
4998,1,Anything else,,,,,
4999,4,Anything else,,,,,
5000,4,Biological mother only,,,,,
5001,3,Biological mother only,,,,,
5002,4,Anything else,,,,,
5003,9,Anything else,,,,,
5004,3,Biological father only,,,,,
5005,1,Both biological parents,,,,,
5006,3,Both biological parents,,,,,
5007,0,Both biological parents,,,,,
5008,5,Anything else,,,,,
5009,0,Biological father only,,,,,
5010,9,"Two parents, biological mother",,,,,
5011,2,Biological mother only,,,,,
5012,1,Both biological parents,,,,,
5013,1,Both biological parents,,,,,
5014,1,Both biological parents,,,,,
5016,4,Anything else,,,,,
5017,0,Both biological parents,,,,,
5018,1,Both biological parents,,,,,
5020,3,Anything else,,,,,
5021,1,"Two parents, biological mother",,,,,
5023,4,Anything else,,,,,
5024,0,Both biological parents,,,,,
5025,1,Both biological parents,,,,,
5026,0,Biological mother only,,,,,
5027,8,Biological mother only,,,,,
5028,1,Biological mother only,,,,,
5029,3,Both biological parents,,,,,
5030,1,Anything else,,,,,
5031,1,Both biological parents,,,,,
5032,8,Anything else,,,,,
5033,3,Anything else,,,,,
5035,6,Adoptive parent(s),,,,,
5036,4,Anything else,,,,,
5037,7,Both biological parents,,,,,
5038,5,Biological mother only,,,,,
5039,4,Anything else,,,,,
5040,2,"Two parents, biological mother",,,,,
5041,3,Both biological parents,,,,,
5042,3,Both biological parents,,,,,
5043,0,"Two parents, biological mother",,,,,
5045,1,Both biological parents,,,,,
5047,5,Biological father only,,,,,
5048,3,Biological father only,,,,,
5049,0,Anything else,,,,,
5050,1,"Two parents, biological mother",,,,,
5051,4,"Two parents, biological mother",,,,,
5052,2,Both biological parents,,,,,
5054,3,Anything else,,,,,
5055,3,Biological mother only,,,,,
5056,2,Both biological parents,,,,,
5057,1,Both biological parents,,,,,
5058,3,Both biological parents,,,,,
5059,3,Anything else,,,,,
5060,3,Anything else,,,,,
5061,1,Both biological parents,,,,,
5063,0,"Two parents, biological father",,,,,
5065,2,"Two parents, biological mother",,,,,
5067,11,Anything else,,,,,
5068,3,Both biological parents,,,,,
5069,1,Both biological parents,,,,,
5072,1,Both biological parents,,,,,
5074,1,Anything else,,,,,
5076,1,Both biological parents,,,,,
5077,6,Both biological parents,,,,,
5078,0,Both biological parents,,,,,
5079,3,Both biological parents,,,,,
5080,11,Anything else,,,,,
5083,1,Both biological parents,,,,,
5084,1,Both biological parents,,,,,
5085,4,Both biological parents,,,,,
5086,1,Both biological parents,,,,,
5087,0,Both biological parents,,,,,
5088,1,Biological mother only,,,,,
5089,0,Both biological parents,,,,,
5090,4,Both biological parents,,,,,
5091,3,Anything else,,,,,
5092,4,Anything else,,,,,
5094,3,Anything else,,,,,
5096,3,Both biological parents,,,,,
5097,3,Both biological parents,,,,,
5098,1,Both biological parents,,,,,
5101,11,Biological mother only,,,,,
5103,2,Biological mother only,,,,,
5104,6,Both biological parents,,,,,
5105,1,Anything else,,,,,
5106,2,"Two parents, biological mother",,,,,
5107,1,Anything else,,,,,
5108,7,Biological father only,,,,,
5110,0,Both biological parents,,,,,
5112,0,Both biological parents,,,,,
5113,0,Both biological parents,,,,,
5114,1,Biological mother only,,,,,
5115,5,Anything else,,,,,
5116,1,Both biological parents,,,,,
5117,1,Anything else,,,,,
5119,3,Biological father only,,,,,
5120,0,Both biological parents,,,,,
5121,1,Anything else,,,,,
5122,0,Both biological parents,,,,,
5123,1,Both biological parents,,,,,
5124,1,"Two parents, biological mother",,,,,
5125,3,Anything else,,,,,
5126,7,Anything else,,,,,
5127,1,Both biological parents,,,,,
5128,1,Both biological parents,,,,,
5129,3,Anything else,,,,,
5130,3,Anything else,,,,,
5131,4,Both biological parents,,,,,
5132,1,Anything else,,,,,
5133,0,Both biological parents,,,,,
5134,1,Anything else,,,,,
5135,0,Both biological parents,,,,,
5136,3,Anything else,,,,,
5137,3,Both biological parents,,,,,
5138,3,Both biological parents,,,,,
5139,1,Both biological parents,,,,,
5141,0,Both biological parents,,,,,
5142,4,Both biological parents,,,,,
5143,1,Both biological parents,,,,,
5144,1,Both biological parents,,,,,
5145,3,Anything else,,,,,
5146,7,Anything else,,,,,
5147,1,Anything else,,,,,
5149,0,Anything else,,,,,
5150,0,Biological mother only,,,,,
5151,4,Biological mother only,,,,,
5152,0,Both biological parents,,,,,
5153,1,Anything else,,,,,
5154,1,"Two parents, biological mother",,,,,
5155,6,"Two parents, biological mother",,,,,
5156,0,Both biological parents,,,,,
5157,0,Both biological parents,,,,,
5158,3,Both biological parents,,,,,
5159,1,Anything else,,,,,
5160,1,Both biological parents,,,,,
5161,6,Anything else,,,,,
5162,0,Biological mother only,,,,,
5163,2,Both biological parents,,,,,
5164,1,Anything else,,,,,
5165,1,Both biological parents,,,,,
5166,0,Both biological parents,,,,,
5167,1,Both biological parents,,,,,
5168,0,Anything else,,,,,
5169,1,Both biological parents,,,,,
5170,1,Anything else,,,,,
5171,1,Both biological parents,,,,,
5172,0,Both biological parents,,,,,
5173,1,Both biological parents,,,,,
5174,1,Both biological parents,,,,,
5175,1,Anything else,,,,,
5176,1,Both biological parents,,,,,
5177,7,Anything else,,,,,
5178,3,Anything else,,,,,
5179,1,Both biological parents,,,,,
5180,1,Anything else,,,,,
5181,1,Both biological parents,,,,,
5182,1,Anything else,,,,,
5183,1,Both biological parents,,,,,
5184,1,Both biological parents,,,,,
5185,1,Anything else,,,,,
5186,0,Both biological parents,,,,,
5187,6,Both biological parents,,,,,
5188,1,Anything else,,,,,
5189,1,Both biological parents,,,,,
5190,1,Both biological parents,,,,,
5191,2,Both biological parents,,,,,
5192,1,Both biological parents,,,,,
5193,1,"Two parents, biological mother",,,,,
5194,1,"Two parents, biological mother",,,,,
5195,0,Both biological parents,,,,,
5196,3,Anything else,,,,,
5197,0,Biological mother only,,,,,
5198,7,Both biological parents,,,,,
5199,1,Both biological parents,,,,,
5200,2,Both biological parents,,,,,
5201,3,Anything else,,,,,
5202,1,Anything else,,,,,
5203,3,Biological mother only,,,,,
5204,2,Anything else,,,,,
5205,1,Both biological parents,,,,,
5206,1,Both biological parents,,,,,
5207,1,Both biological parents,,,,,
5208,1,Anything else,,,,,
5209,0,"Two parents, biological mother",,,,,
5210,1,Both biological parents,,,,,
5211,7,Anything else,,,,,
5212,2,Anything else,,,,,
5213,3,Anything else,,,,,
5214,1,Biological mother only,,,,,
5215,1,Both biological parents,,,,,
5216,1,Both biological parents,,,,,
5217,3,Anything else,,,,,
5218,2,Both biological parents,,,,,
5219,8,Anything else,,,,,
5220,1,Both biological parents,,,,,
5221,1,Both biological parents,,,,,
5222,3,Anything else,,,,,
5223,11,"Two parents, biological mother",,,,,
5224,1,Biological father only,,,,,
5225,9,"Two parents, biological mother",,,,,
5226,3,Anything else,,,,,
5227,3,Anything else,,,,,
5228,3,Anything else,,,,,
5229,5,Anything else,,,,,
5230,3,Anything else,,,,,
5231,1,"Two parents, biological mother",,,,,
5232,0,Both biological parents,,,,,
5233,0,Both biological parents,,,,,
5234,4,Anything else,,,,,
5235,1,Anything else,,,,,
5236,0,Biological mother only,,,,,
5237,3,Anything else,,,,,
5238,3,Anything else,,,,,
5239,2,Anything else,,,,,
5241,1,Anything else,,,,,
5242,3,Biological mother only,,,,,
5243,2,Anything else,,,,,
5244,1,Both biological parents,,,,,
5245,5,Anything else,,,,,
5246,1,Anything else,,,,,
5247,1,Both biological parents,,,,,
5248,0,Anything else,,,,,
5249,1,Anything else,,,,,
5250,3,Anything else,,,,,
5251,1,Anything else,,,,,
5252,1,Biological father only,,,,,
5253,1,Both biological parents,,,,,
5254,1,Both biological parents,,,,,
5255,6,Both biological parents,,,,,
5256,8,Both biological parents,,,,,
5257,1,Both biological parents,,,,,
5258,3,Anything else,,,,,
5260,0,Both biological parents,,,,,
5261,0,Both biological parents,,,,,
5262,1,Anything else,,,,,
5263,1,Both biological parents,,,,,
5264,0,Both biological parents,,,,,
5265,3,Both biological parents,,,,,
5266,1,Both biological parents,,,,,
5267,3,Anything else,,,,,
5268,4,Anything else,,,,,
5269,1,Both biological parents,,,,,
5270,7,Anything else,,,,,
5271,3,Both biological parents,,,,,
5272,8,Both biological parents,,,,,
5273,1,Both biological parents,,,,,
5274,1,Both biological parents,,,,,
5275,3,Biological mother only,,,,,
5278,3,Anything else,,,,,
5279,5,Biological mother only,,,,,
5280,3,Both biological parents,,,,,
5281,5,Anything else,,,,,
5282,2,Anything else,,,,,
5283,6,Anything else,,,,,
5284,7,Anything else,,,,,
5285,15,Anything else,,,,,
5286,1,Anything else,,,,,
5287,3,Anything else,,,,,
5288,3,"Two parents, biological mother",,,,,
5289,1,Anything else,,,,,
5290,8,"Two parents, biological mother",,,,,
5291,0,Biological mother only,,,,,
5292,2,"Two parents, biological mother",,,,,
5293,10,Anything else,,,,,
5294,3,Anything else,,,,,
5295,0,Anything else,,,,,
5296,9,Anything else,,,,,
5297,1,Both biological parents,,,,,
5298,2,Both biological parents,,,,,
5299,1,Both biological parents,,,,,
5300,3,Anything else,,,,,
5301,1,Anything else,,,,,
5302,4,Anything else,,,,,
5303,1,Anything else,,,,,
5304,5,Anything else,,,,,
5305,1,Both biological parents,,,,,
5306,1,Both biological parents,,,,,
5307,3,Anything else,,,,,
5308,5,"Two parents, biological mother",,,,,
5309,4,Anything else,,,,,
5310,6,Anything else,,,,,
5311,9,Anything else,,,,,
5312,7,"Two parents, biological mother",,,,,
5313,1,Both biological parents,,,,,
5314,3,Both biological parents,,,,,
5315,1,Anything else,,,,,
5316,7,Anything else,,,,,
5318,16,Anything else,,,,,
5319,4,Anything else,,,,,
5320,4,Biological mother only,,,,,
5322,1,"Two parents, biological mother",,,,,
5323,0,"Two parents, biological mother",,,,,
5326,2,Anything else,,,,,
5328,1,Anything else,,,,,
5329,1,Both biological parents,,,,,
5330,0,Both biological parents,,,,,
5331,1,Both biological parents,,,,,
5332,4,Both biological parents,,,,,
5333,1,Both biological parents,,,,,
5334,1,Both biological parents,,,,,
5335,3,Anything else,,,,,
5336,6,Anything else,,,,,
5337,1,Biological mother only,,,,,
5338,3,Both biological parents,,,,,
5339,2,Both biological parents,,,,,
5340,0,Both biological parents,,,,,
5341,0,Both biological parents,,,,,
5342,1,Both biological parents,,,,,
5343,3,Both biological parents,,,,,
5344,1,Both biological parents,,,,,
5345,3,Anything else,,,,,
5346,1,Both biological parents,,,,,
5347,1,Both biological parents,,,,,
5348,1,Both biological parents,,,,,
5349,1,Anything else,,,,,
5350,0,Both biological parents,,,,,
5351,0,Anything else,,,,,
5352,0,Both biological parents,,,,,
5353,1,Anything else,,,,,
5354,0,Anything else,,,,,
5355,3,Both biological parents,,,,,
5357,2,Anything else,,,,,
5358,2,Anything else,,,,,
5359,1,Biological mother only,,,,,
5360,1,Biological mother only,,,,,
5361,1,Biological mother only,,,,,
5362,6,Both biological parents,,,,,
5364,11,Biological mother only,,,,,
5365,4,Biological mother only,,,,,
5366,4,Anything else,,,,,
5367,1,Anything else,,,,,
5368,4,Anything else,,,,,
5369,1,Both biological parents,,,,,
5370,3,Both biological parents,,,,,
5371,4,Biological mother only,,,,,
5373,8,Anything else,,,,,
5374,0,Both biological parents,,,,,
5375,1,Both biological parents,,,,,
5376,11,Anything else,,,,,
5377,0,Both biological parents,,,,,
5378,3,Both biological parents,,,,,
5379,1,Anything else,,,,,
5380,0,Both biological parents,,,,,
5381,3,Biological mother only,,,,,
5382,8,Anything else,,,,,
5383,1,Anything else,,,,,
5384,3,Anything else,,,,,
5385,4,Anything else,,,,,
5386,1,Anything else,,,,,
5387,3,Anything else,,,,,
5388,5,Both biological parents,,,,,
5389,5,Anything else,,,,,
5390,3,Biological mother only,,,,,
5391,1,Both biological parents,,,,,
5392,1,"Two parents, biological mother",,,,,
5393,1,"Two parents, biological mother",,,,,
5394,1,Both biological parents,,,,,
5395,13,Both biological parents,,,,,
5396,1,Both biological parents,,,,,
