,LCI,top3_2
484,1,"Never Married, Cohabiting"
486,1,"Never Married, Not Cohabitating"
487,1,Married
489,1,Married
491,1,Married
495,1,Married
502,1,Married
503,6,"Never Married, Cohabiting"
506,1,"Never Married, Not Cohabitating"
508,1,Married
509,0,"Never Married, Not Cohabitating"
510,3,Married
511,3,Divorced
512,1,Married
514,5,"Never Married, Not Cohabitating"
515,0,"Never Married, Not Cohabitating"
516,1,Married
517,6,Divorced
518,1,Married
519,0,"Never Married, Not Cohabitating"
520,1,Married
521,0,"Never Married, Not Cohabitating"
522,4,"Never Married, Not Cohabitating"
523,6,Married
524,1,Married
525,3,"Never Married, Cohabiting"
526,0,"Never Married, Not Cohabitating"
527,1,Married
528,1,"Never Married, Not Cohabitating"
529,0,"Never Married, Not Cohabitating"
533,3,Married
534,3,"Never Married, Cohabiting"
535,0,"Never Married, Not Cohabitating"
536,4,Divorced
537,3,"Never Married, Not Cohabitating"
539,5,Widowed
541,3,"Never Married, Not Cohabitating"
543,1,Married
544,3,Married
546,1,Married
547,1,Married
548,5,Married
550,1,Married
554,3,"Never Married, Cohabiting"
555,1,Married
556,4,Married
557,3,Married
558,0,"Never Married, Not Cohabitating"
559,6,Married
560,1,Married
561,1,Married
562,4,Married
563,1,Married
565,1,"Never Married, Cohabiting"
566,1,"Never Married, Cohabiting"
567,2,"Never Married, Not Cohabitating"
569,1,Married
570,2,Legally Separated
572,4,"Never Married, Not Cohabitating"
573,3,"Never Married, Cohabiting"
575,0,"Never Married, Not Cohabitating"
576,1,Married
577,1,"Never Married, Cohabiting"
578,2,"Never Married, Not Cohabitating"
579,0,"Never Married, Not Cohabitating"
580,1,Married
581,0,"Never Married, Not Cohabitating"
582,3,Divorced
583,1,Married
584,1,Married
585,3,Divorced
586,4,Married
588,3,Divorced
589,0,"Never Married, Not Cohabitating"
590,1,Married
591,0,"Never Married, Not Cohabitating"
593,9,"Never Married, Cohabiting"
594,3,"Never Married, Cohabiting"
597,1,Married
598,4,Married
599,1,"Never Married, Not Cohabitating"
600,1,"Never Married, Cohabiting"
601,3,"Never Married, Not Cohabitating"
602,1,Married
603,1,Married
604,1,Married
605,10,"Never Married, Not Cohabitating"
606,4,"Never Married, Not Cohabitating"
607,0,"Never Married, Not Cohabitating"
608,1,Married
609,5,Married
611,0,"Never Married, Not Cohabitating"
612,1,"Never Married, Not Cohabitating"
613,3,"Never Married, Cohabiting"
616,4,Married
617,3,Divorced
618,3,"Never Married, Cohabiting"
623,3,Divorced
624,1,Married
625,3,"Never Married, Cohabiting"
626,0,"Never Married, Not Cohabitating"
627,1,"Never Married, Cohabiting"
628,7,Married
629,4,Married
631,3,"Never Married, Cohabiting"
632,3,Married
633,1,Married
634,5,Married
635,0,"Never Married, Not Cohabitating"
636,3,Married
637,1,Married
638,5,Married
639,1,"Never Married, Not Cohabitating"
640,1,Married
641,4,Married
642,1,Married
646,0,"Never Married, Not Cohabitating"
647,1,Married
649,1,Married
651,1,Married
652,1,"Never Married, Cohabiting"
653,5,"Never Married, Not Cohabitating"
654,6,"Never Married, Not Cohabitating"
655,6,"Never Married, Not Cohabitating"
657,3,Married
659,3,"Never Married, Cohabiting"
660,1,Married
661,3,"Never Married, Cohabiting"
662,3,"Never Married, Cohabiting"
663,3,Married
664,1,Married
665,1,Married
666,0,"Never Married, Not Cohabitating"
667,1,Married
668,3,Married
669,0,"Never Married, Not Cohabitating"
671,1,Married
672,1,Married
673,2,"Never Married, Not Cohabitating"
674,2,"Never Married, Not Cohabitating"
675,1,Married
676,7,"Never Married, Not Cohabitating"
678,5,Divorced
679,4,"Never Married, Not Cohabitating"
680,6,"Never Married, Not Cohabitating"
681,2,"Never Married, Not Cohabitating"
682,0,"Never Married, Not Cohabitating"
683,0,"Never Married, Not Cohabitating"
684,0,"Never Married, Not Cohabitating"
685,8,"Never Married, Cohabiting"
686,1,Married
688,0,"Never Married, Not Cohabitating"
689,1,Married
690,5,"Never Married, Cohabiting"
691,3,Divorced
692,1,Married
693,1,Married
697,0,"Never Married, Not Cohabitating"
698,0,"Never Married, Not Cohabitating"
699,3,"Never Married, Cohabiting"
