LCI,R3500900,E7013407,S1542000,E8013403,R1487700,R2602100,S3594800,T6216501,S0921200,R0070700
6,0.52082009,2,4,99,0,0,1.8549,1,4,3
3,1,2,10,99,3,2,1.8549,7,2,1
6,1,0,4,99,7,3,3,7,3,1
0,0.52082009,1.354122,1,34.8614,1,1,1.8549,3.281388,3,1
1,0.52082009,2,4.8714,0,2,1.0778,1.8549,3.281388,3.5490221,1
5,1,2,10,99,4,2,4,1,4,2
1,0,1,3,99,7,3,0,7,1,1
1,0,2,4,0,0,0,3,1,4,2
1,0,1,1,0,1,2,0,5,3,1
1,1,2,1,0,2,3,0,7,4,1
3,0.52082009,4,1,0,1,1,0,1,3,1
3,1,2,10,0,0,2,3,6,3,2
3,1,1.354122,4,34.8614,0,2,1.8549,3.281388,4,1
1,1,0,1,99,3,2,0,7,4,2
1,0,2,1,0,1,2,0,3.281388,3,1
1,0.52082009,1.354122,1,0,0,1,0,3.281388,4,1
0,0,1.354122,1,34.8614,0,1,0,3.281388,4,2
1,0.52082009,1.354122,1,34.8614,0,0,0,3.281388,4,1
1,0,2,1,0,0,1,0,6,4,1
1,1,2,1,0,2,2,0,5,4,1
1,0,2,1,0,0,0,3,1,4,1
4,1,1,1,0,0,0,0,1,3,1
1,1,1,4,0,0,2,0,2,3,2
1,1,2,1,0,3,1,1,6,4,1
3,0.52082009,2,10,0,0,1,0,3.281388,4,5
0,0,1.354122,4.8714,34.8614,0,1,1.8549,3.281388,3.5490221,2
0,0,0,1,0,0,1,0,1,3,1
0,0.52082009,1.354122,1,34.8614,3,0,0,3.281388,4,2
2,0.52082009,2,3,0,0,3,6,7,3,1
0,1,0,1,0,3,3,0,5,4,1
0,1,0,1,0,7,2,0,5,4,1
1,0,2,3,0,0,1,0,1,4,1
1,1,2,5,0,1,2,0,5,4,1
2,0,3,4,0,1,0,1.8549,5,4,1
10,0,0,10,99,4,1,1.8549,5,1,1
2,0.52082009,1.354122,1,0,0,0,0,4,4,1
3,0.52082009,1,1,0,0,0,0,1,4,1
1,0.52082009,0,1,99,3,2,0,4,3,1
3,1,4,3,99,5,3,1,7,3,3
2,0.52082009,0,10,0,2,2,1.8549,2,3.5490221,1
1,1,1,1,99,1,3,0,7,3,3
5,1,1,10,99,2,2,1,5,3,1
0,1,0,10,0,0,2,1,2,3,1
0,0.52082009,0,2,0,0,0,3,1,3,2
0,0,0,1,0,0,0,0,1,3,1
0,0,0,10,0,0,2,1.8549,4,4,1
0,0,0,4.8714,0,2,3,0,7,3.5490221,1
1,0,2,1,0,0,1,0,1,4,1
1,0,1,1,0,0,2,0,3,4,1
2,0.52082009,0,1,0,1,0,0,1,3,1
7,0,2,4,0,1,0,1,2,2,2
1,0,2,1,0,1,0,0,1,4,1
0,0.52082009,0,1,0,1,0,0,1,4,1
1,1,0,4,0,0,1,2,3,3,2
0,1,0,4,99,2,3,3,5,4,1
0,0,0,4,0,0,2,1.8549,1,2,2
0,0.52082009,1.354122,4.8714,34.8614,2,1.0778,1.8549,3.281388,3.5490221,1
3,0.52082009,1.354122,10,34.8614,8,1.0778,0,3.281388,4,3
0,0,0,1,0,2,0,0,1,3,1
3,0.52082009,1,1,0,0,0,0,3.281388,4,2
0,0.52082009,1.354122,1,34.8614,0,0,1.8549,3.281388,4,1
0,0,0,4,0,0,0,4,1,4,3
2,0,3,4.8714,0,0,1,1.8549,3.281388,3.5490221,2
1,0.52082009,1,5,99,2,1.0778,0,6,4,1
1,0.52082009,1,5,99,0,2,0,5,3,2
3,0,2,10,0,1,3,3,3,3,2
0,0,1.354122,1,34.8614,0,2,0,3.281388,4,1
0,0,0,4,0,0,0,1.8549,7,4,1
0,0,0,4,99,2,1,1.8549,1,4,2
0,0,0,4,0,0,1,1.8549,3.281388,3,3
0,0,0,4,99,1,1,1,1,4,2
3,1,2,1,0,3,3,0,3,4,1
3,0,2,1,0,3,0,0,6,3,2
6,1,0,10,0,1,3,6,1,4,2
3,1,2,1,0,2,3,0,3,4,3
1,1,2,10,0,3,0,1.8549,7,4,1
2,1,1.354122,5,34.8614,4,1.0778,3,3.281388,1,1
3,0.52082009,2,4,99,3,3,3,5,4,2
3,1,2,10,0,0,2,1,1,3,1
6,0,4,10,0,0,3,9,1,3,4
3,0,4,10,0,1,0,1.8549,1,3,1
5,0.52082009,1.354122,10,34.8614,1,0,1.8549,5,3,2
6,1,0,10,0,0,0,1.8549,5,4,1
1,0,1.354122,10,34.8614,0,0,1.8549,3.281388,4,3
3,0.52082009,1.354122,4,34.8614,0,0,1.8549,3.281388,4,4
3,1,2,1,0,4,3,0,7,4,1
0,1,1.354122,4.8714,34.8614,5,2,1.8549,3.281388,3.5490221,1
1,1,2,1,99,1,2,0,4,3,2
0,0.52082009,0,2,99,3,0,0,3,4,1
2,1,0,10,99,8,0,2,5,4,1
0,0.52082009,0,1,0,1,0,0,2,4,1
4,1,0,10,0,0,0,1.8549,5,4,1
4,1,2,10,0,0,0,0,2,4,2
1,0.52082009,2,1,0,2,1,0,4,4,1
1,1,2,4,0,3,3,2,3,4,2
4,0,0,4,0,1,0,0,5,3,1
1,0.52082009,1,4,0,0,0,0,7,3,1
1,0.52082009,1,10,0,2,1,0,6,4,3
1,1,2,1,0,5,3,6,7,4,2
2,0.52082009,1,1,0,1,2,0,1,4,1
2,0,1.354122,1,0,0,0,0,1,4,2
1,0,2,1,0,3,1,0,2,4,3
3,0.52082009,0,2,99,1,1,0,4,4,1
4,0,2,1,0,0,0,0,1,1,1
1,0.52082009,1.354122,1,99,0,0,0,7,3,1
8,0,1,10,0,0,1,1,3,4,1
1,0.52082009,2,4.8714,0,1,2,0,5,3.5490221,3
1,0.52082009,2,1,0,0,1,0,1,4,1
1,0,1.354122,4.8714,34.8614,2,1,1.8549,3.281388,3.5490221,2
0,0.52082009,1.354122,4.8714,34.8614,1,3,1.8549,3.281388,3.5490221,1
1,1,1,10,99,0,3,9,4,4,1
1,0,1,2,0,0,2,0,1,4,1
1,0,2,1,0,0,0,0,5,4,1
1,0,2,7,0,0,2,1.8549,2,4,1
2,0,0,10,0,0,2,1.8549,2,4,1
1,0,1.354122,7,34.8614,0,1,1.8549,5,4,1
1,0,2,4.8714,0,0,0,1.8549,1,3.5490221,1
4,0,1.354122,4.8714,34.8614,0,1,1.8549,3,3.5490221,1
1,0,2,1,0,0,2,0,3,4,1
3,0.52082009,1,1,0,4,2,0,3,2,2
3,1,2,10,0,1,3,6,2,3,2
1,0.52082009,1.354122,10,34.8614,1,0,0,3.281388,4,5
4,0,0,1,99,1,3,2,7,4,1
3,1,1.354122,4.8714,34.8614,0,2,1.8549,3.281388,3.5490221,1
3,0.52082009,1.354122,4.8714,34.8614,0,1,1.8549,3.281388,3.5490221,4
0,1,1.354122,4,34.8614,2,3,1.8549,3.281388,4,1
0,0.52082009,1.354122,4.8714,34.8614,0,1.0778,1.8549,3.281388,3.5490221,1
0,0,0,4,0,0,1.0778,1,3.281388,3,1
3,1,2,1,0,1,0,0,6,3,1
0,0,0,4,0,1,1,3,2,3,1
1,1,1,2,0,1,1,0,7,2,1
0,1,1.354122,1,34.8614,2,2,1.8549,3.281388,4,1
0,0.52082009,0,4,0,1,1,1.8549,4,4,1
1,1,1,1,0,0,1.0778,1.8549,1,4,1
1,0,2,1,0,0,2,0,1,4,1
0,0.52082009,1.354122,1,34.8614,1,1,1.8549,3.281388,4,1
0,0.52082009,0,4,0,1,0,0,4,3,1
0,0.52082009,1.354122,4.8714,34.8614,3,1.0778,1.8549,3.281388,3.5490221,1
3,0.52082009,4,4.8714,0,0,1.0778,1,1,3.5490221,1
1,0,1,5,0,0,1,0,1,3,1
3,0,2,5,0,1,1,0,1,4,1
1,0.52082009,2,4,0,1,2,4,3.281388,4,1
0,1,1.354122,1,34.8614,0,2,1.8549,3.281388,4,1
1,1,2,1,99,0,1,0,6,4,2
0,0,0,1,0,0,0,0,2,4,1
1,1,2,1,0,0,2,0,2,4,1
0,0,0,1,0,1,0,0,1,4,1
0,0,0,1,0,0,0,0,1,4,1
0,0,0,1,0,0,0,0,1,2,2
4,1,0,5,99,3,3,9,6,4,1
0,0.52082009,0,5,0,2,0,9,7,4,1
2,0.52082009,0,10,99,0,1,3,6,4,1
5,0.52082009,2,5,99,2,0,9,5,2,3
3,0.52082009,4,2,0,1,2,0,1,4,1
0,0,0,1,0,0,0,0,1,4,1
1,1,2,1,0,0,0,0,5,4,1
8,0.52082009,0,4,99,0,1,0,6,2,1
1,0.52082009,1.354122,5,99,2,0,0,4,4,1
4,0,2,10,0,1,0,1.8549,3.281388,4,2
3,0.52082009,1.354122,4.8714,34.8614,2,1,1.8549,3.281388,3.5490221,3
11,1,1.354122,10,34.8614,1,1.0778,0,3.281388,3,2
1,0,2,10,0,0,1,1.8549,7,4,2
4,0.52082009,4,10,0,0,0,1,2,4,2
0,0.52082009,0,4,0,0,0,0,3,3,2
1,0,2,1,0,1,1,0,5,4,1
1,0,2,1,0,0,1,0,7,4,1
2,0,3,1,0,0,1,0,2,4,1
1,0.52082009,2,1,0,1,0,0,1,4,1
0,0.52082009,1.354122,4.8714,34.8614,1,1.0778,1.8549,3.281388,3.5490221,1
3,1,4,10,0,0,0,1,1,4,2
1,0,2,1,0,1,2,1,4,4,2
2,0.52082009,1.354122,10,34.8614,1,1,1.8549,5,4,4
5,1,4,10,99,6,3,1.8549,7,3,3
1,0,2,1,0,0,0,0,1,4,2
3,0,1,1,0,1,1,0,6,4,2
1,1,2,1,99,0,3,0,4,3,1
0,0.52082009,1.354122,1,34.8614,0,2,1.8549,3.281388,4,1
4,1,2,8,99,10,3,1,7,3,5
4,1,1.354122,4.8714,34.8614,1,1,1.8549,2,3.5490221,5
0,0,0,4,0,0,0,1.8549,2,4,2
3,0.52082009,4,4,0,0,0,1.8549,7,4,1
3,0,2,2,0,2,0,2,1,4,5
0,0.52082009,0,4.8714,99,2,0,1,3.281388,3.5490221,2
3,0,0,1,0,0,0,5,1,4,2
1,0.52082009,1,4,0,0,0,1.8549,2,3,1
3,0.52082009,2,1,99,0,0,0,5,4,1
0,0.52082009,1.354122,4.8714,34.8614,0,1.0778,1.8549,3.281388,3.5490221,2
0,0,1.354122,4.8714,34.8614,0,2,1.8549,3.281388,3.5490221,1
1,0.52082009,1.354122,4.8714,34.8614,3,2,1.8549,3.281388,3.5490221,1.52947075
7,1,4,10,0,0,2,1.8549,7,3,2
0,0.52082009,1.354122,4.8714,34.8614,0,1.0778,1.8549,3.281388,3.5490221,1
0,0,1.354122,1,34.8614,0,0,1.8549,3.281388,3,1
4,1,0,10,99,4,3,7,3,3,4
1,1,2,4,0,1,2,1.8549,1,4,1
1,0,2,4,99,1,3,4,1,3,2
1,0,2,1,0,0,0,0,3,2,3
1,0.52082009,1.354122,4.8714,34.8614,0,2,1.8549,3.281388,3.5490221,1
4,1,2,10,99,0,1,1.8549,2,3,2
1,0,0,4.8714,0,3,0,0,5,3.5490221,1
1,1,1.354122,1,34.8614,1,2,0,1,4,1
2,1,0,5,0,0,0,0,4,4,1
0,0.52082009,0,1,99,0,0,0,4,4,1
0,0.52082009,0,1,0,0,1,0,1,4,1
3,0,4,1,0,3,3,0,5,4,2
4,1,0,10,99,0,2,9,3.281388,4,1
1,1,0,1,0,0,0,0,3,3,1
0,1,1.354122,4.8714,34.8614,1,2,1.8549,3.281388,3.5490221,1
1,1,2,4.8714,99,3,3,1.8549,3.281388,3.5490221,2
1,0.52082009,2,10,99,3,3,0,4,4,1
4,0.52082009,0,5,99,0,2,3,2,4,2
